Rowid_,VALUE,RED,GREEN,BLUE,CLASS_NAME,OPACITY,COUNT
,0,0.000000000000000,0.000000000000000,0.000000000000000,Background,0.000000000000000,19837893
,1,1.000000000000000,0.827000000000000,0.000000000000000,Corn,1.000000000000000,27390357
,2,1.000000000000000,0.149000000000000,0.149000000000000,Cotton,1.000000000000000,639718
,3,0.000000000000000,0.659000000000000,0.894000000000000,Rice,1.000000000000000,652
,4,1.000000000000000,0.620000000000000,0.043000000000000,Sorghum,1.000000000000000,13369620
,5,0.149000000000000,0.439000000000000,0.000000000000000,Soybeans,1.000000000000000,19327411
,6,1.000000000000000,1.000000000000000,0.000000000000000,Sunflower,1.000000000000000,121132
,12,0.867000000000000,0.647000000000000,0.043000000000000,Sweet Corn,1.000000000000000,10
,13,0.867000000000000,0.647000000000000,0.043000000000000,Pop or Orn Corn,1.000000000000000,62
,21,0.886000000000000,0.000000000000000,0.486000000000000,Barley,1.000000000000000,13385
,23,0.847000000000000,0.710000000000000,0.420000000000000,Spring Wheat,1.000000000000000,26207
,24,0.647000000000000,0.439000000000000,0.000000000000000,Winter Wheat,1.000000000000000,26875987
,26,0.439000000000000,0.439000000000000,0.000000000000000,Dbl Crop WinWht/Soybeans,1.000000000000000,2063154
,27,0.675000000000000,0.000000000000000,0.486000000000000,Rye,1.000000000000000,345335
,28,0.627000000000000,0.349000000000000,0.537000000000000,Oats,1.000000000000000,292036
,29,0.439000000000000,0.000000000000000,0.286000000000000,Millet,1.000000000000000,33752
,31,0.820000000000000,1.000000000000000,0.000000000000000,Canola,1.000000000000000,1687
,36,1.000000000000000,0.647000000000000,0.886000000000000,Alfalfa,1.000000000000000,2738038
,37,0.647000000000000,0.949000000000000,0.549000000000000,Other Hay/Non Alfalfa,1.000000000000000,2910869
,38,0.000000000000000,0.686000000000000,0.294000000000000,Camelina,1.000000000000000,387
,42,0.647000000000000,0.000000000000000,0.000000000000000,Dry Beans,1.000000000000000,7045
,43,0.439000000000000,0.149000000000000,0.000000000000000,Potatoes,1.000000000000000,3137
,44,0.000000000000000,0.686000000000000,0.294000000000000,Other Crops,1.000000000000000,10829
,51,0.000000000000000,0.686000000000000,0.294000000000000,Chick Peas,1.000000000000000,1289
,53,0.329000000000000,1.000000000000000,0.000000000000000,Peas,1.000000000000000,15549
,57,0.494000000000000,0.827000000000000,1.000000000000000,Herbs,1.000000000000000,27628
,58,0.910000000000000,0.749000000000000,1.000000000000000,Clover/Wildflowers,1.000000000000000,13858
,59,0.686000000000000,1.000000000000000,0.867000000000000,Sod/Grass Seed,1.000000000000000,18577
,61,0.749000000000000,0.749000000000000,0.467000000000000,Fallow/Idle Cropland,1.000000000000000,14772314
,70,0.000000000000000,0.467000000000000,0.467000000000000,Christmas Trees,1.000000000000000,33
,74,0.710000000000000,0.439000000000000,0.357000000000000,Pecans,1.000000000000000,1331
,76,0.914000000000000,0.839000000000000,0.686000000000000,Walnuts,1.000000000000000,95
,111,0.294000000000000,0.439000000000000,0.639000000000000,Open Water,1.000000000000000,2038288
,121,0.604000000000000,0.604000000000000,0.604000000000000,Developed/Open Space,1.000000000000000,7370181
,122,0.604000000000000,0.604000000000000,0.604000000000000,Developed/Low Intensity,1.000000000000000,2699208
,123,0.604000000000000,0.604000000000000,0.604000000000000,Developed/Med Intensity,1.000000000000000,713574
,124,0.604000000000000,0.604000000000000,0.604000000000000,Developed/High Intensity,1.000000000000000,261727
,131,0.800000000000000,0.749000000000000,0.639000000000000,Barren,1.000000000000000,157242
,141,0.576000000000000,0.800000000000000,0.576000000000000,Deciduous Forest,1.000000000000000,12961112
,142,0.576000000000000,0.800000000000000,0.576000000000000,Evergreen Forest,1.000000000000000,26085
,143,0.576000000000000,0.800000000000000,0.576000000000000,Mixed Forest,1.000000000000000,388244
,152,0.776000000000000,0.839000000000000,0.620000000000000,Shrubland,1.000000000000000,2597184
,176,0.910000000000000,1.000000000000000,0.749000000000000,Grassland/Pasture,1.000000000000000,94131236
,190,0.494000000000000,0.694000000000000,0.694000000000000,Woody Wetlands,1.000000000000000,957016
,195,0.494000000000000,0.694000000000000,0.694000000000000,Herbaceous Wetlands,1.000000000000000,379472
,205,0.839000000000000,0.620000000000000,0.737000000000000,Triticale,1.000000000000000,608354
,225,1.000000000000000,0.827000000000000,0.000000000000000,Dbl Crop WinWht/Corn,1.000000000000000,34131
,226,1.000000000000000,0.827000000000000,0.000000000000000,Dbl Crop Oats/Corn,1.000000000000000,1327
,228,1.000000000000000,0.824000000000000,0.000000000000000,Dbl Crop Triticale/Corn,1.000000000000000,44301
,229,1.000000000000000,0.400000000000000,0.400000000000000,Pumpkins,1.000000000000000,11
,236,0.647000000000000,0.439000000000000,0.000000000000000,Dbl Crop WinWht/Sorghum,1.000000000000000,378817
,238,0.647000000000000,0.439000000000000,0.000000000000000,Dbl Crop WinWht/Cotton,1.000000000000000,5509
,240,0.149000000000000,0.439000000000000,0.000000000000000,Dbl Crop Soybeans/Oats,1.000000000000000,1128
,247,1.000000000000000,0.400000000000000,0.400000000000000,Turnips,1.000000000000000,54
,254,0.149000000000000,0.439000000000000,0.000000000000000,Dbl Crop Barley/Soybeans,1.000000000000000,1158
